Department,JobRole,Attrition,MaritalStatus,EmployeeNumber,ï»¿Age,DailyRate,DistanceFromHome,Education,HourlyRate,JobInvolvement,JobLevel,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IndiceDeBurnout,IndiceDeSatisfacaoGeral,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Gender_Male,JobRole_TargetEncoded,MaritalStatus_TargetEncoded,EducationField_TargetEncoded,IndiceDeBurnout^2,MonthlyIncome^2,MonthlyIncome_X_IndiceDeBurnout,YearsAtCompany_X_IndiceDeBurnout,MonthlyIncome_X_IndiceDeSatisfacaoGeral,YearsAtCompany_X_IndiceDeSatisfacaoGeral,IndiceDeBurnout_X_IndiceDeSatisfacaoGeral
Sales,Sales Executive,Yes,Single,1,41,1102,1,2,94,3,2,19479,8,11,3,0,8,0,4,0,5,6,2.3333333333333335,False,True,False,0.17484662576687046,0.2553191489361702,0.14686468646864687,36.0,35916049.0,35958.0,36.0,13983.666666666668,14.0,14.0
Research & Development,Research Scientist,No,Married,2,49,279,8,1,61,2,2,24907,1,23,4,1,10,3,7,1,7,5,3.0,True,False,True,0.16095890410958943,0.12481426448736999,0.14686468646864687,25.0,26316900.0,25650.0,50.0,15390.0,30.0,15.0
Research & Development,Laboratory Technician,Yes,Single,4,37,1373,2,2,92,2,1,2396,6,15,3,0,7,3,0,0,0,5,3.0,False,True,True,0.23938223937897848,0.2553191489361702,0.13420118338933018,25.0,4368100.0,10450.0,0.0,6270.0,0.0,15.0
Research & Development,Research Scientist,No,Married,5,33,1392,3,4,56,3,1,23159,1,11,3,0,8,3,7,3,0,5,3.3333333333333335,True,False,False,0.16095890410958943,0.12481426448736999,0.14686468646864687,25.0,8462281.0,14545.0,40.0,9696.666666666668,26.666666666666668,16.666666666666668
Research & Development,Laboratory Technician,No,Married,7,27,591,2,1,40,3,1,16632,9,12,3,1,6,3,2,2,2,5,2.3333333333333335,False,True,True,0.23938223937897848,0.12481426448736999,0.13577586206896552,25.0,12027024.0,17340.0,10.0,8092.000000000001,4.666666666666667,11.666666666666668
Research & Development,Laboratory Technician,No,Single,8,32,1005,2,2,79,3,1,11864,0,13,3,0,8,2,7,3,6,4,3.6666666666666665,True,False,True,0.23938223937897848,0.2553191489361702,0.14686468646864687,16.0,9412624.0,12272.0,28.0,11249.333333333332,25.666666666666664,14.666666666666666
Research & Development,Laboratory Technician,No,Married,10,59,1324,3,3,81,4,1,9964,4,20,4,3,12,3,0,0,0,8,1.6666666666666667,False,True,False,0.23938223937897848,0.12481426448736999,0.13577586206896552,64.0,7128900.0,21360.0,8.0,4450.0,1.6666666666666667,13.333333333333334
Research & Development,Laboratory Technician,No,Divorced,11,30,1358,24,1,67,3,1,13335,1,22,4,1,1,2,0,0,0,4,3.0,False,True,True,0.23938223937897848,0.10091743119266336,0.14686468646864687,16.0,7252249.0,10772.0,4.0,8079.0,3.0,12.0
Research & Development,Manufacturing Director,No,Single,12,38,216,23,3,44,2,3,8787,0,21,4,0,10,2,7,1,8,4,3.0,True,False,True,0.06896586105729074,0.2553191489361702,0.14686468646864687,16.0,90744676.0,38104.0,36.0,28578.0,27.0,12.0
Research & Development,Healthcare Representative,No,Married,13,36,1299,27,3,94,3,2,16577,6,13,3,2,17,3,7,7,7,5,2.6666666666666665,False,True,True,0.06870368828064846,0.12481426448736999,0.13577586206896552,25.0,27426169.0,26185.0,35.0,13965.333333333332,18.666666666666664,13.333333333333332
Research & Development,Laboratory Technician,No,Married,14,35,809,16,3,84,4,1,16479,0,13,3,1,6,5,4,0,3,5,2.0,False,True,True,0.23938223937897848,0.12481426448736999,0.13577586206896552,25.0,5885476.0,12130.0,25.0,4852.0,10.0,10.0
Research & Development,Laboratory Technician,No,Single,15,29,153,15,2,49,2,2,12682,0,12,3,0,10,3,5,0,8,5,3.6666666666666665,False,True,False,0.23938223937897848,0.2553191489361702,0.14686468646864687,25.0,17581249.0,20965.0,45.0,15374.333333333332,33.0,18.333333333333332
